# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
büldân	بلدان	ar
bülend	بلند	fa
bülendbâlâ	بلندبالا	fa
bülendpervâz	بلندپرواز	fa
büleğâ	بلغاء	ar
bülheves	بوالهوس	ar
bülûğ	بلوغ	ar
bün	بن	fa
bünye	بنيه	ar
bünyeviyat	بنيویات	ar
bünyâd	بنياد	fa
bürdbâr	بردبار	fa
bürde	برده	ar
bürhân	برهان	ar
bürka	برقع	ar
bürnâ	برنا	fa
bürrân	بران	fa
bürîde	بریده	fa
bürûdet	برودت	ar
bürûz	بروز	ar
büstân	بستان	fa
büt	بت	fa
büthâne	بت خانه	fa
bütperest	بت پرست	fa
bütûn	بطون	ar
büyût	بيوت	ar
büz	بز	fa
büzdil	بزدل	fa
büzûr	بذور	ar
büzürg	بزرگ	fa
büzürgzâde	بزرگ زاده	fa
büzürgân	بزرگان	fa
büşrâ	بشرا	ar
ca'l	جعل	ar
ca'lî	جعلی	ar
cahilî	نيم جاهلی	fa-ar
canefşân	جان افشان	fa
canhıraş	جان خراش	fa
cazibedar	جاذبه دار	ar-fa
cebbâr	جبار	ar
cebbârî	جباری	ar-fa
cebel	جبل	ar
cebhe	جبهه	ar
cebr	جبر	ar
cebren	جبرا	ar
cebrî	جبری	ar
cebâbire	جبابره	ar
cebîn	جبين	ar
cedd	جد	ar
cedel	جدل	ar
cedelî	جدلی	ar
